#params: learningRate 0.300, momentum 0.900, numIterations 10000, printEvery 100, printFirst 10000
iteration 210, loss 0.01497462
iteration 211, loss 0.01522037
iteration 212, loss 0.01513470
iteration 213, loss 0.01499745
iteration 214, loss 0.01479576
iteration 215, loss 0.01468704
iteration 216, loss 0.01445090
iteration 217, loss 0.01437054
iteration 218, loss 0.01424378
iteration 219, loss 0.01416190
iteration 220, loss 0.01405171
iteration 221, loss 0.01398941
iteration 222, loss 0.01385539
iteration 223, loss 0.01400290
iteration 224, loss 0.01406621
iteration 225, loss 0.01408504
iteration 226, loss 0.01394558
iteration 227, loss 0.01375558
iteration 228, loss 0.01364332
iteration 229, loss 0.01357067
iteration 230, loss 0.01330355
iteration 231, loss 0.01343331
iteration 232, loss 0.01341964
iteration 233, loss 0.01338276
iteration 234, loss 0.01313655
iteration 235, loss 0.01298052
iteration 236, loss 0.01328101
iteration 237, loss 0.01325879
iteration 238, loss 0.01311905
iteration 239, loss 0.01303176
iteration 240, loss 0.01292935
iteration 241, loss 0.01285588
iteration 242, loss 0.01273794
iteration 243, loss 0.01252306
iteration 244, loss 0.01237904
iteration 245, loss 0.01248425
iteration 246, loss 0.01249996
iteration 247, loss 0.01251046
iteration 248, loss 0.01242739
iteration 249, loss 0.01232404
iteration 250, loss 0.01245593
iteration 251, loss 0.01244423
iteration 252, loss 0.01237018
iteration 253, loss 0.01219147
iteration 254, loss 0.01216607
iteration 255, loss 0.01185037
iteration 256, loss 0.01190795
iteration 257, loss 0.01190619
iteration 258, loss 0.01191590
iteration 259, loss 0.01184686
iteration 260, loss 0.01175158
iteration 261, loss 0.01158695
iteration 262, loss 0.01171607
iteration 263, loss 0.01163881
iteration 264, loss 0.01155417
iteration 265, loss 0.01148971
iteration 266, loss 0.01144591
iteration 267, loss 0.01142201
iteration 268, loss 0.01129271
iteration 269, loss 0.01128926
iteration 270, loss 0.01137817
iteration 271, loss 0.01133083
iteration 272, loss 0.01127516
iteration 273, loss 0.01122508
iteration 274, loss 0.01117955
iteration 275, loss 0.01108687
iteration 276, loss 0.01099595
iteration 277, loss 0.01093953
iteration 278, loss 0.01076111
iteration 279, loss 0.01070183
iteration 280, loss 0.01061564
iteration 281, loss 0.01074308
iteration 282, loss 0.01079656
iteration 283, loss 0.01078086
iteration 284, loss 0.01072026
iteration 285, loss 0.01058908
iteration 286, loss 0.01057387
iteration 287, loss 0.01064864
iteration 288, loss 0.01067333
iteration 289, loss 0.01061997
iteration 290, loss 0.01054300
iteration 291, loss 0.01037178
iteration 292, loss 0.01020025
iteration 293, loss 0.01033863
iteration 294, loss 0.01029555
iteration 295, loss 0.01023642
iteration 296, loss 0.01020403
iteration 297, loss 0.01016918
iteration 298, loss 0.01007122
iteration 299, loss 0.01022452
iteration 300, loss 0.01016997
iteration 301, loss 0.01015089
iteration 302, loss 0.01007822
iteration 303, loss 0.00989230
iteration 304, loss 0.00981723
iteration 305, loss 0.00978545
iteration 306, loss 0.00978800
iteration 307, loss 0.00975222
iteration 308, loss 0.00976908
iteration 309, loss 0.00973791
iteration 310, loss 0.00966497
iteration 311, loss 0.00962017
iteration 312, loss 0.00958307
iteration 313, loss 0.00949684
iteration 314, loss 0.00950676
iteration 315, loss 0.00950308
iteration 316, loss 0.00946567
iteration 317, loss 0.00941948
iteration 318, loss 0.00943070
iteration 319, loss 0.00940664
iteration 320, loss 0.00935761
iteration 321, loss 0.00934039
iteration 322, loss 0.00941316
iteration 323, loss 0.00944115
iteration 324, loss 0.00940246
iteration 325, loss 0.00930755
iteration 326, loss 0.00925957
iteration 327, loss 0.00917546
iteration 328, loss 0.00908456
iteration 329, loss 0.00908699
iteration 330, loss 0.00907808
iteration 331, loss 0.00904211
iteration 332, loss 0.00891667
iteration 333, loss 0.00889175
iteration 334, loss 0.00884187
iteration 335, loss 0.00898148
iteration 336, loss 0.00901019
iteration 337, loss 0.00895513
iteration 338, loss 0.00892682
iteration 339, loss 0.00885071
iteration 340, loss 0.00879119
iteration 341, loss 0.00878116
iteration 342, loss 0.00871110
iteration 343, loss 0.00864007
iteration 344, loss 0.00858031
iteration 345, loss 0.00861640
iteration 346, loss 0.00861039
iteration 347, loss 0.00858479
iteration 348, loss 0.00859731
iteration 349, loss 0.00858032
iteration 350, loss 0.00857140
iteration 351, loss 0.00848247
iteration 352, loss 0.00845002
iteration 353, loss 0.00840409
iteration 354, loss 0.00835086
iteration 355, loss 0.00831240
iteration 356, loss 0.00837213
iteration 357, loss 0.00840562
iteration 358, loss 0.00837702
iteration 359, loss 0.00832535
iteration 360, loss 0.00827638
iteration 361, loss 0.00816782
iteration 362, loss 0.00812466
iteration 363, loss 0.00812864
iteration 364, loss 0.00808091
iteration 365, loss 0.00807390
iteration 366, loss 0.00811853
iteration 367, loss 0.00811028
iteration 368, loss 0.00808107
iteration 369, loss 0.00809943
iteration 370, loss 0.00806236
iteration 371, loss 0.00797244
iteration 372, loss 0.00790190
iteration 373, loss 0.00785573
iteration 374, loss 0.00786294
iteration 375, loss 0.00786617
iteration 376, loss 0.00796609
iteration 377, loss 0.00797114
iteration 378, loss 0.00793042
iteration 379, loss 0.00786377
iteration 380, loss 0.00776659
iteration 381, loss 0.00771355
iteration 382, loss 0.00779512
iteration 383, loss 0.00778862
iteration 384, loss 0.00780659
iteration 385, loss 0.00775424
iteration 386, loss 0.00770609
iteration 387, loss 0.00760338
iteration 388, loss 0.00753394
iteration 389, loss 0.00748502
iteration 390, loss 0.00745989
iteration 391, loss 0.00746442
iteration 392, loss 0.00749056
iteration 393, loss 0.00752993
iteration 394, loss 0.00755319
iteration 395, loss 0.00753014
iteration 396, loss 0.00753259
iteration 397, loss 0.00747656
iteration 398, loss 0.00742156
iteration 399, loss 0.00735362
iteration 400, loss 0.00731315
iteration 401, loss 0.00729894
iteration 402, loss 0.00728233
iteration 403, loss 0.00739325
iteration 404, loss 0.00738392
iteration 405, loss 0.00733878
iteration 406, loss 0.00729271
iteration 407, loss 0.00721493
iteration 408, loss 0.00715734
iteration 409, loss 0.00718855
iteration 410, loss 0.00719077
iteration 411, loss 0.00718865
iteration 412, loss 0.00714833
iteration 413, loss 0.00709780
iteration 414, loss 0.00716794
iteration 415, loss 0.00713588
iteration 416, loss 0.00707232
iteration 417, loss 0.00707077
iteration 418, loss 0.00705110
iteration 419, loss 0.00701474
iteration 420, loss 0.00698808
iteration 421, loss 0.00698621
iteration 422, loss 0.00696359
iteration 423, loss 0.00693600
iteration 424, loss 0.00693080
iteration 425, loss 0.00691688
iteration 426, loss 0.00689190
iteration 427, loss 0.00686951
iteration 428, loss 0.00685506
iteration 429, loss 0.00686367
iteration 430, loss 0.00685218
iteration 431, loss 0.00681459
iteration 432, loss 0.00678438
iteration 433, loss 0.00672549
iteration 434, loss 0.00669820
iteration 435, loss 0.00669018
iteration 436, loss 0.00669470
iteration 437, loss 0.00677794
iteration 438, loss 0.00676368
iteration 439, loss 0.00679162
iteration 440, loss 0.00674955
iteration 441, loss 0.00668416
iteration 442, loss 0.00669500
iteration 443, loss 0.00664739
iteration 444, loss 0.00661036
iteration 445, loss 0.00659214
iteration 446, loss 0.00659052
iteration 447, loss 0.00657769
iteration 448, loss 0.00649502
iteration 449, loss 0.00649225
iteration 450, loss 0.00646168
iteration 451, loss 0.00647061
iteration 452, loss 0.00645952
iteration 453, loss 0.00643451
iteration 454, loss 0.00647285
iteration 455, loss 0.00648653
iteration 456, loss 0.00648051
iteration 457, loss 0.00645243
iteration 458, loss 0.00643873
iteration 459, loss 0.00638556
iteration 460, loss 0.00632000
iteration 461, loss 0.00632562
iteration 462, loss 0.00632263
iteration 463, loss 0.00633771
iteration 464, loss 0.00633581
iteration 465, loss 0.00630156
iteration 466, loss 0.00626398
iteration 467, loss 0.00628023
iteration 468, loss 0.00624690
iteration 469, loss 0.00619294
iteration 470, loss 0.00620862
iteration 471, loss 0.00620700
iteration 472, loss 0.00620701
iteration 473, loss 0.00620075
iteration 474, loss 0.00617471
iteration 475, loss 0.00613749
iteration 476, loss 0.00610467
iteration 477, loss 0.00613144
iteration 478, loss 0.00612691
iteration 479, loss 0.00610560
iteration 480, loss 0.00608326
iteration 481, loss 0.00605506
iteration 482, loss 0.00601798
iteration 483, loss 0.00598830
iteration 484, loss 0.00598853
iteration 485, loss 0.00596293
iteration 486, loss 0.00600949
iteration 487, loss 0.00600963
iteration 488, loss 0.00601291
iteration 489, loss 0.00598904
iteration 490, loss 0.00596500
iteration 491, loss 0.00592386
iteration 492, loss 0.00589994
iteration 493, loss 0.00593458
iteration 494, loss 0.00596225
iteration 495, loss 0.00594574
iteration 496, loss 0.00591589
iteration 497, loss 0.00587485
iteration 498, loss 0.00584591
iteration 499, loss 0.00582019
iteration 500, loss 0.00585069
iteration 501, loss 0.00582973
iteration 502, loss 0.00582073
iteration 503, loss 0.00583594
iteration 504, loss 0.00581045
iteration 505, loss 0.00577234
iteration 506, loss 0.00573628
iteration 507, loss 0.00571287
iteration 508, loss 0.00572162
iteration 509, loss 0.00572865
iteration 510, loss 0.00570852
iteration 511, loss 0.00569038
iteration 512, loss 0.00566756
iteration 513, loss 0.00562133
iteration 514, loss 0.00563346
iteration 515, loss 0.00564490
iteration 516, loss 0.00565207
iteration 517, loss 0.00562502
iteration 518, loss 0.00560242
iteration 519, loss 0.00558037
iteration 520, loss 0.00559634
iteration 521, loss 0.00559328
iteration 522, loss 0.00557327
iteration 523, loss 0.00556380
iteration 524, loss 0.00556717
iteration 525, loss 0.00555114
iteration 526, loss 0.00553687
iteration 527, loss 0.00552665
iteration 528, loss 0.00550447
iteration 529, loss 0.00547786
iteration 530, loss 0.00546297
iteration 531, loss 0.00545257
iteration 532, loss 0.00544024
iteration 533, loss 0.00543850
iteration 534, loss 0.00544674
iteration 535, loss 0.00544459
iteration 536, loss 0.00542824
iteration 537, loss 0.00540628
iteration 538, loss 0.00538658
iteration 539, loss 0.00535806
iteration 540, loss 0.00534938
iteration 541, loss 0.00534043
iteration 542, loss 0.00533344
iteration 543, loss 0.00531144
iteration 544, loss 0.00529845
iteration 545, loss 0.00529022
iteration 546, loss 0.00529394
iteration 547, loss 0.00530480
iteration 548, loss 0.00530683
iteration 549, loss 0.00531508
iteration 550, loss 0.00530413
iteration 551, loss 0.00529581
iteration 552, loss 0.00530294
iteration 553, loss 0.00529201
iteration 554, loss 0.00527592
iteration 555, loss 0.00525254
iteration 556, loss 0.00520737
iteration 557, loss 0.00518450
iteration 558, loss 0.00515107
iteration 559, loss 0.00515259
iteration 560, loss 0.00514646
iteration 561, loss 0.00518372
iteration 562, loss 0.00519206
iteration 563, loss 0.00517603
iteration 564, loss 0.00515742
iteration 565, loss 0.00513721
iteration 566, loss 0.00512447
iteration 567, loss 0.00511612
iteration 568, loss 0.00509686
iteration 569, loss 0.00508002
iteration 570, loss 0.00507068
iteration 571, loss 0.00506283
iteration 572, loss 0.00505300
iteration 573, loss 0.00504766
iteration 574, loss 0.00503497
iteration 575, loss 0.00502801
iteration 576, loss 0.00503962
iteration 577, loss 0.00502048
iteration 578, loss 0.00502161
iteration 579, loss 0.00500784
iteration 580, loss 0.00497573
iteration 581, loss 0.00497552
iteration 582, loss 0.00499002
iteration 583, loss 0.00497816
iteration 584, loss 0.00496364
iteration 585, loss 0.00495004
iteration 586, loss 0.00491473
iteration 587, loss 0.00491925
iteration 588, loss 0.00491047
iteration 589, loss 0.00489455
iteration 590, loss 0.00488095
iteration 591, loss 0.00487956
iteration 592, loss 0.00487865
iteration 593, loss 0.00487510
iteration 594, loss 0.00486816
iteration 595, loss 0.00487801
iteration 596, loss 0.00486279
iteration 597, loss 0.00485803
iteration 598, loss 0.00484520
iteration 599, loss 0.00484140
iteration 600, loss 0.00482340
iteration 601, loss 0.00480256
iteration 602, loss 0.00481300
iteration 603, loss 0.00481267
iteration 604, loss 0.00479766
iteration 605, loss 0.00476391
iteration 606, loss 0.00474305
iteration 607, loss 0.00476246
iteration 608, loss 0.00477054
iteration 609, loss 0.00476619
iteration 610, loss 0.00475844
iteration 611, loss 0.00474597
iteration 612, loss 0.00472722
iteration 613, loss 0.00471013
iteration 614, loss 0.00468305
iteration 615, loss 0.00465749
iteration 616, loss 0.00465110
iteration 617, loss 0.00463826
iteration 618, loss 0.00464503
iteration 619, loss 0.00463902
iteration 620, loss 0.00463675
iteration 621, loss 0.00462930
iteration 622, loss 0.00464571
iteration 623, loss 0.00463873
iteration 624, loss 0.00461854
iteration 625, loss 0.00459108
iteration 626, loss 0.00459904
iteration 627, loss 0.00460226
iteration 628, loss 0.00462121
iteration 629, loss 0.00463303
iteration 630, loss 0.00461755
iteration 631, loss 0.00459232
iteration 632, loss 0.00456140
iteration 633, loss 0.00453575
iteration 634, loss 0.00454808
iteration 635, loss 0.00454730
iteration 636, loss 0.00453445
iteration 637, loss 0.00450648
iteration 638, loss 0.00450478
iteration 639, loss 0.00450388
iteration 640, loss 0.00449793
iteration 641, loss 0.00449041
iteration 642, loss 0.00446944
iteration 643, loss 0.00450141
iteration 644, loss 0.00449094
iteration 645, loss 0.00447781
iteration 646, loss 0.00447710
iteration 647, loss 0.00447849
iteration 648, loss 0.00446260
iteration 649, loss 0.00446220
iteration 650, loss 0.00444750
iteration 651, loss 0.00445092
iteration 652, loss 0.00444256
iteration 653, loss 0.00443106
iteration 654, loss 0.00441395
iteration 655, loss 0.00441096
iteration 656, loss 0.00437804
iteration 657, loss 0.00436062
iteration 658, loss 0.00434841
iteration 659, loss 0.00433311
iteration 660, loss 0.00435555
iteration 661, loss 0.00435232
iteration 662, loss 0.00434633
iteration 663, loss 0.00433204
iteration 664, loss 0.00431518
iteration 665, loss 0.00431948
iteration 666, loss 0.00432454
iteration 667, loss 0.00431945
iteration 668, loss 0.00433282
iteration 669, loss 0.00432281
iteration 670, loss 0.00430258
iteration 671, loss 0.00429285
iteration 672, loss 0.00429557
iteration 673, loss 0.00428698
iteration 674, loss 0.00427941
iteration 675, loss 0.00425888
iteration 676, loss 0.00424031
iteration 677, loss 0.00423368
iteration 678, loss 0.00423526
iteration 679, loss 0.00423038
iteration 680, loss 0.00421607
iteration 681, loss 0.00420461
iteration 682, loss 0.00419511
iteration 683, loss 0.00419480
iteration 684, loss 0.00419920
iteration 685, loss 0.00422750
iteration 686, loss 0.00423231
iteration 687, loss 0.00422077
iteration 688, loss 0.00420668
iteration 689, loss 0.00418592
iteration 690, loss 0.00418209
iteration 691, loss 0.00417487
iteration 692, loss 0.00414124
iteration 693, loss 0.00412890
iteration 694, loss 0.00413828
iteration 695, loss 0.00414856
iteration 696, loss 0.00413831
iteration 697, loss 0.00411201
iteration 698, loss 0.00410073
iteration 699, loss 0.00410914
iteration 700, loss 0.00410832
iteration 701, loss 0.00410332
iteration 702, loss 0.00407607
iteration 703, loss 0.00407516
iteration 704, loss 0.00408277
iteration 705, loss 0.00407020
iteration 706, loss 0.00405582
iteration 707, loss 0.00407154
iteration 708, loss 0.00407578
iteration 709, loss 0.00406855
iteration 710, loss 0.00405479
iteration 711, loss 0.00403807
iteration 712, loss 0.00404528
iteration 713, loss 0.00404248
iteration 714, loss 0.00403066
iteration 715, loss 0.00400427
iteration 716, loss 0.00398620
iteration 717, loss 0.00401282
iteration 718, loss 0.00401643
iteration 719, loss 0.00401420
iteration 720, loss 0.00400337
iteration 721, loss 0.00398181
iteration 722, loss 0.00397076
iteration 723, loss 0.00396361
iteration 724, loss 0.00395586
iteration 725, loss 0.00396523
iteration 726, loss 0.00395495
iteration 727, loss 0.00394059
iteration 728, loss 0.00392892
iteration 729, loss 0.00392749
iteration 730, loss 0.00392087
iteration 731, loss 0.00390742
iteration 732, loss 0.00392718
iteration 733, loss 0.00391677
iteration 734, loss 0.00390707
iteration 735, loss 0.00390179
iteration 736, loss 0.00389999
iteration 737, loss 0.00390449
iteration 738, loss 0.00390141
iteration 739, loss 0.00389053
iteration 740, loss 0.00388427
iteration 741, loss 0.00387971
iteration 742, loss 0.00387889
iteration 743, loss 0.00387531
iteration 744, loss 0.00386982
iteration 745, loss 0.00386273
iteration 746, loss 0.00386214
iteration 747, loss 0.00385423
iteration 748, loss 0.00384534
iteration 749, loss 0.00383477
iteration 750, loss 0.00382908
iteration 751, loss 0.00381616
iteration 752, loss 0.00380516
iteration 753, loss 0.00380775
iteration 754, loss 0.00379822
iteration 755, loss 0.00377383
iteration 756, loss 0.00376005
iteration 757, loss 0.00376663
iteration 758, loss 0.00377825
iteration 759, loss 0.00377466
iteration 760, loss 0.00379416
iteration 761, loss 0.00378631
iteration 762, loss 0.00376735
iteration 763, loss 0.00374824
iteration 764, loss 0.00373778
iteration 765, loss 0.00372558
iteration 766, loss 0.00373122
